"";"Random Search";"	";"	";"Hillclimbing Classic";"	";"	";"VNS";"	";"	"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"294.667";"0.943";"100.0";"295.0";"0.0";"100.0";"295.0";"0.0";"100.0"
"./data/files/f2.txt";"917.1";"26.859";"0.0";"989.167";"19.635";"100.0";"1015.233";"8.667";"70.0"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"33.467";"0.846";"76.667";"35.0";"0.0";"100.0"
"./data/files/f4.txt";"23.0";"0.0";"100.0";"23.0";"0.0";"100.0";"23.0";"0.0";"100.0"
"./data/files/f5.txt";"447.328";"18.121";"100.0";"465.242";"11.162";"33.333";"479.225";"4.051";"100.0"
"./data/files/f6.txt";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0";"51.967";"0.18";"100.0"
"./data/files/f7.txt";"107.0";"0.0";"100.0";"107.0";"0.0";"100.0";"106.733";"0.68";"100.0"
"./data/files/f8.txt";"9751.767";"4.814";"0.0";"9761.8";"2.971";"73.333";"9763.833";"2.518";"90.0"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"104.533";"9.062";"0.0";"130.0";"0.0";"100.0"
"./data/files/f10.txt";"917.167";"30.626";"0.0";"991.767";"18.079";"0.0";"1015.367";"9.593";"76.667"
"./data/files/Knapsack1.txt";"99763.933";"0.249";"0.0";"97547.3";"4652.85";"0.0";"99763.567";"6.617";"100.0"
"./data/files/Knapsack2.txt";"141810.1";"254.87";"80.0";"140286.0";"691.345";"0.0";"140716.9";"365.955";"0.0"
"./data/files/Knapsack3.txt";"100069.833";"158.999";"93.333";"100181.4";"60.92";"100.0";"100142.4";"70.919";"100.0"
"./data/files/Knapsack4.txt";"3960888.133";"1291.229";"0.0";"3952012.167";"4352.854";"0.0";"3958209.767";"1732.078";"0.0"
"./data/files/Knapsack5.txt";"104816.167";"541.635";"0.0";"106656.067";"759.664";"0.0";"106297.267";"765.01";"0.0"
"./data/files/Knapsack6.txt";"1044811.0";"6940.333";"0.0";"1065841.4";"6610.071";"0.0";"1057619.633";"11645.518";"0.0"
"Total";"341552.137";"579.292";"54.583";"342209.207";"1074.341";"48.958";"342229.056";"913.237";"71.042"
