"";"BWOA";"	";"	"
"Dataset";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"276.8";"21.408";"100.0"
"./data/files/f2.txt";"830.433";"70.401";"100.0"
"./data/files/f3.txt";"35.0";"0.0";"100.0"
"./data/files/f4.txt";"23.0";"0.0";"100.0"
"./data/files/f5.txt";"375.862";"27.695";"0.0"
"./data/files/f6.txt";"52.0";"0.0";"100.0"
"./data/files/f7.txt";"107.0";"0.0";"100.0"
"./data/files/f8.txt";"9726.133";"24.299";"0.0"
"./data/files/f9.txt";"130.0";"0.0";"100.0"
"./data/files/f10.txt";"828.833";"69.567";"100.0"
"./data/files/Knapsack1.txt";"99616.7";"221.509";"0.0"
"./data/files/Knapsack2.txt";"140006.633";"1373.114";"0.0"
"./data/files/Knapsack3.txt";"99127.9";"1026.882";"100.0"
"./data/files/Knapsack4.txt";"3954356.967";"3826.533";"0.0"
"./data/files/Knapsack5.txt";"102011.933";"1353.631";"0.0"
"Total";"293833.68";"534.336";"60.0"
