"";"Hillclimbing Classic";"	";"	";"Random Search";"	";"	";"VNS";"	";"	";"BWOA";"	";"	"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"295.0";"0.0";"100.0";"295.0";"0.0";"100.0";"295.0";"0.0";"100.0";"295.0";"0.0";"100.0"
"./data/files/f2.txt";"1007.5";"12.296";"13.333";"951.1";"21.496";"0.0";"1021.4";"2.973";"56.667";"1014.933";"13.366";"53.333"
"./data/files/f3.txt";"33.467";"0.846";"13.333";"35.0";"0.0";"90.0";"35.0";"0.0";"96.667";"35.0";"0.0";"100.0"
"./data/files/f4.txt";"23.0";"0.0";"83.333";"23.0";"0.0";"83.333";"23.0";"0.0";"93.333";"23.0";"0.0";"100.0"
"./data/files/f5.txt";"467.784";"8.551";"10.0";"470.244";"11.181";"30.0";"481.069";"0.0";"100.0";"479.87";"5.514";"93.333"
"./data/files/f6.txt";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0"
"./data/files/f7.txt";"107.0";"0.0";"96.667";"107.0";"0.0";"96.667";"107.0";"0.0";"93.333";"107.0";"0.0";"100.0"
"./data/files/f8.txt";"9763.833";"2.311";"16.667";"9756.667";"3.553";"0.0";"9765.967";"1.741";"70.0";"9765.833";"1.572";"56.667"
"./data/files/f9.txt";"104.533";"9.062";"0.0";"130.0";"0.0";"96.667";"130.0";"0.0";"100.0";"130.0";"0.0";"100.0"
"./data/files/f10.txt";"1005.067";"6.821";"0.0";"959.733";"22.949";"0.0";"1022.733";"2.999";"63.333";"1017.233";"8.644";"43.333"
"./data/files/Knapsack1.txt";"97564.433";"4615.195";"0.0";"99764.0";"0.0";"0.0";"99764.0";"0.0";"0.0";"99763.567";"0.667";"0.0"
"./data/files/Knapsack2.txt";"140862.733";"494.491";"0.0";"142046.033";"87.638";"20.0";"140883.8";"275.55";"0.0";"141964.733";"155.417";"23.333"
"Total";"20940.529";"429.131";"36.111";"21215.815";"12.235";"51.389";"21131.747";"23.605";"72.778";"21220.681";"15.432";"72.5"
