"";"Random Search";"	";"	";"Hillclimbing Classic";"	";"	";"VNS";"	";"	";"BWOA";"	";"	"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"294.667";"0.943";"80.0";"295.0";"0.0";"100.0";"294.933";"0.249";"93.333";"295.0";"0.0";"100.0"
"./data/files/f2.txt";"918.0";"25.937";"0.0";"987.367";"18.277";"3.333";"1003.3";"15.524";"13.333";"1021.7";"5.235";"73.333"
"./data/files/f3.txt";"35.0";"0.0";"83.333";"33.467";"0.846";"6.667";"35.0";"0.0";"96.667";"35.0";"0.0";"100.0"
"./data/files/f4.txt";"23.0";"0.0";"86.667";"23.0";"0.0";"86.667";"23.0";"0.0";"93.333";"23.0";"0.0";"100.0"
"./data/files/f5.txt";"447.328";"18.121";"6.667";"467.465";"12.763";"20.0";"478.877";"3.801";"70.0";"473.663";"15.244";"73.333"
"./data/files/f6.txt";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0";"51.767";"0.423";"76.667";"52.0";"0.0";"100.0"
"./data/files/f7.txt";"107.0";"0.0";"90.0";"107.0";"0.0";"90.0";"106.867";"0.499";"86.667";"106.933";"0.359";"96.667"
"./data/files/f8.txt";"9751.767";"4.814";"0.0";"9762.533";"2.642";"10.0";"9762.767";"3.765";"16.667";"9757.9";"4.245";"3.333"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"105.3";"8.063";"0.0";"130.0";"0.0";"100.0";"130.0";"0.0";"100.0"
"./data/files/f10.txt";"917.167";"30.626";"0.0";"994.267";"14.953";"0.0";"1011.633";"9.101";"6.667";"1024.1";"3.015";"90.0"
"./data/files/Knapsack1.txt";"99763.933";"0.249";"0.0";"99166.467";"2289.109";"0.0";"99763.4";"1.451";"0.0";"99762.533";"1.875";"0.0"
"./data/files/Knapsack2.txt";"141810.1";"254.87";"6.667";"140077.233";"796.71";"0.0";"140366.2";"439.955";"0.0";"141061.167";"383.668";"0.0"
"./data/files/Knapsack3.txt";"100069.833";"158.999";"46.667";"100191.8";"59.346";"60.0";"100147.6";"38.913";"6.667";"100140.867";"131.686";"56.667"
"Total";"27255.369";"38.043";"46.154";"27097.146";"246.362";"36.667";"27167.334";"39.514";"50.769";"27221.836";"41.948";"68.718"
