"";"Random Search";"	";"	";"Hillclimbing Classic";"	";"	";"VNS";"	";"	";"BWOA sigma";"	";"	"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"295.0";"0.0";"100.0";"295.0";"0.0";"100.0";"295.0";"0.0";"100.0";"295.0";"0.0";"100.0"
"./data/files/f2.txt";"951.1";"21.496";"0.0";"1006.8";"10.186";"6.667";"1021.4";"2.973";"56.667";"1024.0";"0.0";"100.0"
"./data/files/f3.txt";"35.0";"0.0";"83.333";"33.467";"0.846";"6.667";"35.0";"0.0";"96.667";"35.0";"0.0";"100.0"
"./data/files/f4.txt";"23.0";"0.0";"86.667";"23.0";"0.0";"86.667";"23.0";"0.0";"93.333";"23.0";"0.0";"100.0"
"./data/files/f5.txt";"470.244";"11.181";"30.0";"470.752";"8.56";"20.0";"481.069";"0.0";"100.0";"481.069";"0.0";"100.0"
"./data/files/f6.txt";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0"
"./data/files/f7.txt";"107.0";"0.0";"90.0";"107.0";"0.0";"90.0";"107.0";"0.0";"93.333";"107.0";"0.0";"100.0"
"./data/files/f8.txt";"9756.667";"3.553";"0.0";"9764.133";"2.446";"20.0";"9765.967";"1.741";"70.0";"9760.167";"2.818";"0.0"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"105.3";"8.063";"0.0";"130.0";"0.0";"100.0";"130.0";"0.0";"100.0"
"./data/files/f10.txt";"959.733";"22.949";"0.0";"1003.7";"5.769";"0.0";"1022.733";"2.999";"63.333";"1025.0";"0.0";"100.0"
"./data/files/Knapsack1.txt";"99764.0";"0.0";"0.0";"99183.433";"2283.911";"0.0";"99764.0";"0.0";"0.0";"99790.067";"14.38";"76.667"
"./data/files/Knapsack2.txt";"142044.867";"87.344";"20.0";"140749.1";"606.558";"0.0";"140883.8";"275.55";"0.0";"141839.967";"165.196";"6.667"
"./data/files/Knapsack3.txt";"100214.133";"65.895";"86.667";"100191.8";"59.346";"60.0";"100171.0";"29.069";"16.667";"100158.367";"82.296";"23.333"
"./data/files/Knapsack4.txt";"3960608.567";"1290.298";"0.0";"3952628.5";"4450.359";"0.0";"3959245.1";"2488.808";"0.0";"3960919.267";"1169.7";"0.0"
"./data/files/Knapsack5.txt";"105255.867";"621.128";"0.0";"107448.4";"605.44";"0.0";"107709.2";"539.645";"0.0";"103933.0";"811.377";"0.0"
"Total";"294711.145";"141.59";"46.444";"294204.159";"536.099";"32.667";"294713.751";"222.719";"59.333";"294638.194";"149.718";"67.111"
